Year;Revenue;Revenue_growth;EBIT;EBIT_Margin;Tax Rate;D&A;D&A_as_%_of_Revenue;Capex;Capex_as_%_of_Revenue;Working Capital
2013;55519;0.205912378635505;15544;0.279976224355626;;3939;0.0709486842342261;7358;0.132531205533241;156
2014;66001;0.188800230551703;16877;0.255708246844745;;4979;0.0754382509355919;10959;0.166042938743352;672
2015;74989;0.136179754852199;19360;0.258171198442438;;5063;0.0675165690968009;9915;0.132219392177519;-409
2016;90272;0.203803224472923;23716;0.262717121588089;;6144;0.0680609712867777;9972;0.110466146756469;2988
2017;110855;0.228010900389933;28882;0.260538541337784;;6915;0.0623787830950341;13184;0.118930133958775;11410
