Year;Revenue;Revenue_growth;EBIT;EBIT_Margin;Tax Rate;D&A;D&A_as_%_of_Revenue;Capex;Capex_as_%_of_Revenue;Working Capital
2016;90272;0.203803224472923;23716;0.262717121588089;19.35;6144;0.0680609712867777;9972;0.110466146756469;2988
2017;110855;0.228010900389933;28882;0.260538541337784;53.44;6915;0.0623787830950341;13184;0.118930133958775;11410
2018;136819;0.23421586757476;32595;0.238234455740796;11.96;9035;0.0660361499499339;25041;0.183022825777122;6115
2019;161857;0.183000898997946;35928;0.221973717540792;13.33;11781;0.0727864720092427;23548;0.145486447913899;1440
2020;182527;0.127705320128261;41224;0.225851517857632;16.25;13697;0.0750409528453325;22281;0.122069611619103;3157
